Row;s_RTS_code;e_full_name;s_sec_type_name_dop;s_sec_form_name_full;s_zagolovok_adr;s_ISIN_code;s_CFI_code_2;s_trade_lot;s_step_price;s_currency_kotir;s_trade_in_date;f_is_exchanged;f_invc_full_name;КВАЛ;Торговый календарь
1155;LULU;lululemon athletica inc.;Акции;Акции иностранного эмитента обыкновенные;;US5500211090;ESVUFR;1,00;0,01;USD;31.01.2019 0:00:00;;lululemon athletica inc.;НЕТ;Эмитенты с листингом в США
1156;LUMN;Lumen Technologies, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US5502411037;ESVUFR;1,00;0,01;USD;26.04.2017 0:00:00;;Lumen Technologies, Inc.;НЕТ;Эмитенты с листингом в США
1157;LUV;Southwest Airlines Co.;Акции;Акции иностранного эмитента обыкновенные;;US8447411088;ESVUFR;1,00;0,01;USD;19.10.2016 0:00:00;;Southwest Airlines Co.;НЕТ;Эмитенты с листингом в США
1158;LVS;Las Vegas Sands Corp.;Акции;Акции иностранного эмитента обыкновенные;;US5178341070;ESVUFR;1,00;0,01;USD;31.01.2019 0:00:00;;Las Vegas Sands Corp.;НЕТ;Эмитенты с листингом в США
1159;LW;Lamb Weston Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US5132721045;ESVUFR;1,00;0,01;USD;18.05.2020 0:00:00;;Lamb Weston Holdings, Inc.;НЕТ;Эмитенты с листингом в США
1160;LYB;LyondellBasell Industries N.V.;Акции;Акции иностранного эмитента обыкновенные класса A;;NL0009434992;ESVUFN;1,00;0,01;USD;01.06.2017 0:00:00;;LyondellBasell Industries N.V.;НЕТ;Эмитенты с листингом в США
1161;LYEL;Lyell Immunopharma, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US55083R1041;ESVUFR;1,00;0,01;USD;03.10.2022 0:00:00;;Lyell Immunopharma, Inc.;НЕТ;Эмитенты с листингом в США
1162;LYFT;Lyft, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US55087P1049;ESVUFR;1,00;0,01;USD;11.06.2019 0:00:00;;Lyft, Inc.;НЕТ;Эмитенты с листингом в США
1163;LYV;Live Nation Entertainment, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US5380341090;ESVUFR;1,00;0,01;USD;05.08.2019 0:00:00;;Live Nation Entertainment, Inc.;НЕТ;Эмитенты с листингом в США
1164;M;Macy's, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US55616P1049;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00;;Macy's, Inc.;НЕТ;Эмитенты с листингом в США
1165;MA;Mastercard Incorporated;Акции;Акции иностранного эмитента обыкновенные класса A;;US57636Q1040;ESVUFR;1,00;0,01;USD;19.10.2016 0:00:00;;Mastercard Incorporated;НЕТ;Эмитенты с листингом в США
1166;MAA;Mid-America Apartment Communities, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US59522J1034;ESVUFR;1,00;0,01;USD;31.08.2017 0:00:00;;Mid-America Apartment Communities, Inc.;НЕТ;Эмитенты с листингом в США
1167;MAC;The Macerich Company;Акции;Акции иностранного эмитента обыкновенные;;US5543821012;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00;;The Macerich Company;НЕТ;Эмитенты с листингом в США
1168;MAN;ManpowerGroup Inc.;Акции;Акции иностранного эмитента обыкновенные;;US56418H1005;ESVUFR;1,00;0,01;USD;31.01.2019 0:00:00;;ManpowerGroup Inc.;НЕТ;Эмитенты с листингом в США
1169;MANH;Manhattan Associates, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US5627501092;ESVUFR;1,00;0,01;USD;28.02.2019 0:00:00;;Manhattan Associates, Inc.;НЕТ;Эмитенты с листингом в США
1170;MANU;Manchester United plc;Акции;Акции иностранного эмитента обыкновенные класса A;;KYG5784H1065;ESVUFR;1,00;0,01;USD;05.08.2019 0:00:00;;Manchester United plc;НЕТ;Эмитенты с листингом в США
1171;MAR;Marriott International, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US5719032022;ESEUFR;1,00;0,01;USD;01.06.2017 0:00:00;;Marriott International, Inc.;НЕТ;Эмитенты с листингом в США
1172;MARA;Marathon Digital Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US5657881067;ESVUFR;1,00;0,01;USD;10.11.2021 0:00:00;;Marathon Digital Holdings, Inc.;НЕТ;Эмитенты с листингом в США
1173;MAS;Masco Corporation;Акции;Акции иностранного эмитента обыкновенные;;US5745991068;ESVUFR;1,00;0,01;USD;19.10.2016 0:00:00;;Masco Corporation;НЕТ;Эмитенты с листингом в США
1174;MASI;Masimo Corporation;Акции;Акции иностранного эмитента обыкновенные;;US5747951003;ESVUFR;1,00;0,01;USD;11.06.2019 0:00:00;;Masimo Corporation;НЕТ;Эмитенты с листингом в США
1175;MAT;Mattel, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US5770811025;ESVUFR;1,00;0,01;USD;18.05.2017 0:00:00;;Mattel, Inc.;НЕТ;Эмитенты с листингом в США
1176;MATV;Mativ Holdings, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US8085411069;ESVUFR;1,00;0,01;USD;18.07.2022 0:00:00;;Mativ Holdings, Inc.;НЕТ;Эмитенты с листингом в США
1177;MATX;Matson, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US57686G1058;ESVUFR;1,00;0,01;USD;04.04.2019 0:00:00;;Matson, Inc.;НЕТ;Эмитенты с листингом в США
1178;MBC;MasterBrand, Inc.;Акции;Акции иностранного эмитента обыкновенные;;US57638P1049;ESVUFR;1,00;0,01;USD;27.12.2022 0:00:00;;MasterBrand, Inc.;НЕТ;Эмитенты с листингом в США
1179;MBUU;Malibu Boats, Inc.;Акции;Акции иностранного эмитента обыкновенные класса A;;US56117J1007;ESVUFR;1,00;0,01;USD;31.10.2019 0:00:00;;Malibu Boats, Inc.;НЕТ;Эмитенты с листингом в США
1180;MC;Moelis & Company;Акции;Акции иностранного эмитента обыкновенные класса A;;US60786M1053;ESVUFR;1,00;0,01;USD;18.05.2020 0:00:00;;Moelis & Company;НЕТ;Эмитенты с листингом в США
1181;MCD;McDonald's Corporation;Акции;Акции иностранного эмитента обыкновенные;;US5801351017;ESVUFR;1,00;0,01;USD;28.11.2014 0:00:00;;McDonald's Corporation;НЕТ;Эмитенты с листингом в США
1182;MCHI;iShares Trust;Акции;Акции иностранного биржевого инвестиционного фонда iShares MSCI China ETF;;US46429B6719;CEOJLS;1,00;0,01;USD;11.11.2022 0:00:00;True;iShares Trust;ДА;Эмитенты с листингом в США
1183;MCHP;Microchip Technology Incorporated;Акции;Акции иностранного эмитента обыкновенные;;US5950171042;ESVUFR;1,00;0,01;USD;18.05.2017 0:00:00;;Microchip Technology Incorporated;НЕТ;Эмитенты с листингом в США
1184;MCK;McKesson Corporation;Акции;Акции иностранного эмитента обыкновенные;;US58155Q1031;ESVUFR;1,00;0,01;USD;01.06.2017 0:00:00;;McKesson Corporation;НЕТ;Эмитенты с листингом в США
